Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,Bytes,cell_line,Center Name,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,GEO_Accession (exp),Instrument,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,create_date,version,Sample Name,source_name,SRA Study,day_of_differentiation
SRR11863086,RNA-Seq,75,44904600,PRJNA635600,SAMN15045522,16862842,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415412,GSM4574280,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574280,Single mESC cell,SRP265084,day 12
SRR11863087,RNA-Seq,75,202690950,PRJNA635600,SAMN15045521,69895293,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415413,GSM4574281,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574281,Single mESC cell,SRP265084,day 12
SRR11863088,RNA-Seq,75,71739675,PRJNA635600,SAMN15045520,28116829,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415414,GSM4574282,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574282,Single mESC cell,SRP265084,day 12
SRR11863089,RNA-Seq,75,441494925,PRJNA635600,SAMN15045519,154940763,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415415,GSM4574283,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574283,Single mESC cell,SRP265084,day 12
SRR11863090,RNA-Seq,75,95337600,PRJNA635600,SAMN15045518,35743247,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415416,GSM4574284,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574284,Single mESC cell,SRP265084,day 12
SRR11863091,RNA-Seq,75,213365700,PRJNA635600,SAMN15045517,74918313,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415417,GSM4574285,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574285,Single mESC cell,SRP265084,day 12
SRR11863092,RNA-Seq,75,110655525,PRJNA635600,SAMN15045516,41370423,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415418,GSM4574286,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574286,Single mESC cell,SRP265084,day 12
SRR11863093,RNA-Seq,75,72555150,PRJNA635600,SAMN15045565,28289273,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415419,GSM4574287,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574287,Single mESC cell,SRP265084,day 12
SRR11863094,RNA-Seq,75,86353350,PRJNA635600,SAMN15045491,34398426,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415420,GSM4574288,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:37:00Z,1,GSM4574288,Single mESC cell,SRP265084,day 12
SRR11863095,RNA-Seq,75,309588225,PRJNA635600,SAMN15045490,109741406,Differentiated mESC,GEO,public,"fastq,run.zq,sra","gs,ncbi,s3","gs.us-east1,ncbi.public,s3.us-east-1",SRX8415421,GSM4574289,Illumina NovaSeq 6000,SINGLE,cDNA,TRANSCRIPTOMIC,Mus musculus,ILLUMINA,2020-06-01T00:00:00Z,2020-05-28T11:38:00Z,1,GSM4574289,Single mESC cell,SRP265084,day 12
